ID варианта товара,Артикул,Название товара,Цена продажи,Остаток
243497316,Кофе в зернах Paulig Espresso Originale 250 г,139425602,370.0,370.0
243999242,Кофе молотый illy DECAF без кофеина 250 г,139626558,690.0,690.0
244055951,Кофе в зернах Dallmayr Espresso d'Oro 500 г,139663673,590.0,590.0
245604844,Кофе молотый Pellini Decaffeinato 250 гр,140589958,642.0,642.0
246628368,Кофе в зернах Kimbo Aroma Gold Arabica 1 кг,141241694,1390.0,1390.0
246629374,Кофе в зернах Kimbo Superior Blend 1 кг,141242434,1225.0,1225.0
246629832,Кофе в зернах Kimbo Espresso Napoletano 1 кг,141242610,1146.0,1146.0
246630769,Кофе в зернах Kimbo Aroma Intenso 1 кг,141243318,908.0,908.0
246983741,"Кофе в зернах Lavazza Pronto Crema, 1 кг",141464107,686.0,686.0
246986453,"Кофе в зернах ILLY средней обжарки 1,5 кг",141464673,4200.0,4200.0
248605368,"Кофе растворимый Tchibo Gold Selection, пакет 285 г",ВОQ142406519,369.0,369.0
248606896,Кофе в зернах Черная Карта 1 кг,ВОQ142407617,400.0,400.0
248607328,Чай Хан с солью и перцем растворимый 3 в 1 в пакетиках 30 шт,ВОQ142407863,280.0,280.0
249125897,Кофе молотый Mr.Viet Good Morning Vietnam 250 г,142798836,292.0,292.0
249126742,Кофе молотый Mr.Viet Chon 250 г,142799100,385.0,385.0
249127317,Кофе молотый Mr.Viet Ca Phe Dalat 250 г,142799403,332.0,332.0
249127523,Кофе молотый Mr.Viet Arabica 250 г,142799530,355.0,355.0
249156659,"Кофе в зернах Sense Asia Mr. Viet Доброе утро, Вьетнам 500 г",142822417,770.0,770.0
249156691,Кофе в зернах Sense Asia Mr. Viet Arabica 500 г,142822440,635.0,635.0
249156831,Кофе молотый Mr.Viet Real strong original набор с фином 250 г,142822534,650.0,650.0
249157611,Кофе молотый Mr.Viet Real strong original 250 г,142823223,425.0,425.0
249157734,Молотый кофе MR.VIET Real strong original в пакетиках 500 г,142823284,1100.0,1100.0
250746016,Кофе в капсулах Pellini Top 100% Arabica (10 шт.),143967615,407.0,407.0
250746254,Кофе в капсулах Pellini Armonioso (10 шт.),143967741,370.0,370.0
250746608,Кофе в капсулах Pellini Absolute (10 шт.),143967903,370.0,370.0
250784913,Кофе в зернах SAIGON ARABICA 250 гр,143989021,298.0,298.0
250785441,Кофе молотый SAIGON ARABICA 250 гр,143989543,335.0,335.0
250785792,Кофе в зёрнах SAIGON CHON 250 гр,143989881,300.0,300.0
250787368,Кофе молотый SAIGON CHON 250 гр,143991118,280.0,280.0
250787566,Кофе в зёрнах SAIGON GOURMET 250 гр,143991274,306.0,306.0
250787952,Кофе молотый SAIGON GOURMET 250 гр,143991595,180.0,180.0
250788033,Кофе молотый SAIGON ORIGINAL 250 гр,143991669,297.0,297.0
251241471,"Кофе в зернах Lavazza Qualita Oro, 250 г",144307146,258.0,258.0
251242533,Кофе в зернах Egoiste Noir 1000 г,144307896,1044.0,1044.0
251242690,Кофе в зернах Egoiste Noir 250 г,144307980,290.0,290.0
251242882,Кофе молотый Egoiste Noir 250 г,144308093,289.0,289.0
251428290,Кофе в зернах Saquella Espresso Bar Italia Arabica 1000 г,144420859,1650.0,1650.0
